登录时间,被试编号,性别,惯用手
2024-10-09 11:34:27,3.0,男,右手
2024-10-09 11:34:33,1.0,男,左手
2024-10-09 11:40:33,2.0,女,左手
2024-10-09 11:40:38,3.0,男,右手
2024-10-09 11:41:24,2.0,女,左手
2024-10-09 11:41:28,3.0,男,右手
2024-10-09 11:41:47,3.0,男,右手
2024-10-09 11:41:54,1.0,男,左手
2024-10-09 13:24:42,1.0,男,左手
2024-10-09 13:25:12,3.0,男,右手
2024-10-09 13:25:26,3.0,男,右手
2024-10-09 13:25:30,2.0,女,左手
2024-10-09 13:31:06,1.0,男,左手
2024-10-09 13:31:10,2.0,女,左手
2024-10-09 15:47:58,1.0,男,左手
2024-10-09 15:48:01,2.0,女,左手
2024-10-09 15:52:44,1.0,男,左手
2024-10-09 15:52:48,2.0,女,左手
2024-10-09 15:54:54,1.0,男,左手
2024-10-09 15:54:57,2.0,女,左手
2024-10-09 15:55:11,1.0,男,左手
2024-10-09 15:55:15,2.0,女,左手
2024-10-09 15:56:00,1.0,男,左手
2024-10-09 15:56:03,2.0,女,左手
2024-10-09 15:58:40,1.0,男,左手
2024-10-09 15:58:44,2.0,女,左手
2024-10-09 18:55:21,1.0,男,左手
2024-10-09 18:55:25,2.0,女,左手
2024-10-09 18:56:07,1.0,男,左手
2024-10-09 18:56:10,3.0,男,右手
2024-10-09 18:58:42,2.0,女,左手
2024-10-09 18:58:46,1.0,男,左手
2024-10-09 18:59:03,1.0,男,左手
2024-10-09 18:59:06,3.0,男,右手
2024-10-09 18:59:54,1.0,男,左手
2024-10-09 18:59:57,2.0,女,左手
2024-10-09 20:50:27,1.0,男,左手
2024-10-09 20:50:33,3.0,男,右手
2024-10-09 20:55:52,1.0,男,左手
2024-10-09 20:55:55,2.0,女,左手
2024-10-09 21:07:29,1.0,男,左手
2024-10-09 21:07:33,2.0,女,左手
2024-10-10 14:56:18,1.0,男,左手
2024-10-10 14:56:22,3.0,男,右手
2024-10-10 15:26:28,1.0,男,左手
2024-10-10 15:26:35,2.0,女,左手
2024-10-10 15:27:39,1.0,男,左手
2024-10-10 15:27:44,3.0,男,右手
2024-10-10 15:40:11,3.0,男,右手
